,Type,PrefLabel,AltLabel
501,Concept,second,sec
502,Concept,Kilogram by meter,kg m
503,Unit_Division_Or_Multiplication,Millilitre by reciprocal Kilogram by reciprocal atmosphere,ml.kg-1.atm-1
504,Concept,Mole by micrometer by reciprocal square centimeter by reciprocal second by reciprocal atmosphere,mol µm cm-2 s-1 atm-1
505,Concept,Mole by micrometer by reciprocal square centimeter by reciprocal second by reciprocal atmosphere,mol.µm.cm-2.s-1.atm-1
506,Concept,Reciprocal Kilogram,kg-1
507,Concept,Cubic centimeter by micrometer by reciprocal square meter by reciprocal day by reciprocal kilopascal,cm3.µm.m-2.day-1.kPa-1
508,Concept,Cubic centimeter by micrometer by reciprocal square meter by reciprocal day by reciprocal kilopascal,cm3 µm m-2 d-1 kPa-1
509,Concept,katal,kat
510,Unit_Division_Or_Multiplication,Millimole by reciprocal Kilogram,mmol.kg-1
511,Singular_Unit,katal,kat
512,Concept,KiloJoule,kJ
513,Concept,Reciprocal Ton,t-1
514,Unit_Multiple_Or_Submultiple,micromole,µM
515,Unit_Multiple_Or_Submultiple,micromole,micromolar
516,Unit_Multiple_Or_Submultiple,micromole,microMolar
517,Unit_Multiple_Or_Submultiple,micromole,µmol
518,Concept,Nanokatal by reciprocal gram,nkat.gr-1
519,Unit_Division_Or_Multiplication,Cubic centimeter by centimeter by reciprocal square centimeter by reciprocal second by reciprocal pascal,cm3.cm.cm-2.s-1.Pa-1
520,Unit_Multiple_Or_Submultiple,attomole,aMolar
521,Unit_Multiple_Or_Submultiple,attomole,attomolar
522,Unit_Multiple_Or_Submultiple,attomole,amol
523,Unit_Exponentiation,Square inch,inches^2
524,Unit_Exponentiation,Square inch,inch 2
525,Unit_Exponentiation,Square inch,sq inches
526,Unit_Exponentiation,Square inch,sq in
527,Unit_Exponentiation,Square inch,inch / -2
528,Unit_Exponentiation,Square inch,inches / -2
529,Unit_Exponentiation,Square inch,inch²
530,Unit_Exponentiation,Square inch,in^2
531,Unit_Exponentiation,Square inch,in / -2
532,Unit_Exponentiation,Square inch,inches²
533,Unit_Exponentiation,Square inch,sq inch
534,Unit_Exponentiation,Square inch,square in
535,Unit_Exponentiation,Square inch,inch^2
536,Unit_Exponentiation,Square inch,in²
537,Unit_Division_Or_Multiplication,Mole per Meter per second per pascal,mol.m.m-2.s-1.Pa-1
538,Unit_Division_Or_Multiplication,Mole per Meter per second per pascal,mol.m-1.s-1.Pa-1
539,Unit_Division_Or_Multiplication,Mole per Meter per second per pascal,mol / m / s / Pa
540,Unit_Division_Or_Multiplication,Mole per Meter per second per pascal,mol m m-2 s-1 Pa-1
541,Concept,Square second,s2
542,Concept,Milligram by Reciprocal Kilogram by Reciprocal Atmosphere,mg.kg-1.atm-1
543,Unit_Division_Or_Multiplication,Square Meter By Reciprocal Second,m2 s-1
544,Unit_Division_Or_Multiplication,Square Meter By Reciprocal Second,m2.s-1
545,Concept,Millipascal By Reciprocal Second,mPa / s
546,Concept,Filter Paper Unit,FPU
547,Concept,Pascal By Second,Pa.s
548,Unit_Exponentiation,Reciprocal minute,min-1
549,Concept,hour,Hr
550,Concept,hour,h
551,Unit_Division_Or_Multiplication,Micromole by reciprocal kilogram by reciprocal second,µMole.kg-1.s-1
552,Unit_Exponentiation,Reciprocal cubic meter,m-3
553,Unit_Division_Or_Multiplication,CFU per gram,CFU / gr
554,Concept,Liter By Reciprocal Kilogram By Reciprocal Atmosphere,l.kg-1.atm-1
555,Concept,Millilitre by reciprocal Kilogram by reciprocal atmosphere,ml.kg-1.atm-1
556,Concept,Millimole by reciprocal Kilogram,mmol.kg-1
557,Unit_Division_Or_Multiplication,Watt by hour,W.h
558,Unit_Division_Or_Multiplication,Liter By Reciprocal Hour By Reciprocal Square Meter,l.h-1.m-2
559,Unit_Division_Or_Multiplication,Millilitre by reciprocal square meter by reciprocal day by reciprocal atmosphere,mL.m-2.d-1.atm-1
560,Concept,Atmosphere,atm
561,Concept,Atmosphere By Kilogram By Reciprocal Mole,Atm.kg.Mole-1
562,Unit_Division_Or_Multiplication,Cubic centimeter by reciprocal cubic centimeter by reciprocal atmosphere,cm3.cm-3.atm-1
563,Unit_Division_Or_Multiplication,Kilogram by meter by reciprocal square meter,kg m m-2
564,Concept,Nanometer,nm
565,Unit_Multiple_Or_Submultiple,KiloJoule,kJ
566,Concept,Cubic centimeter by centimeter by reciprocal square centimeter by reciprocal second by reciprocal pascal,cm3.cm.cm-2.s-1.Pa-1
567,Concept,Cubic centimeter by centimeter by reciprocal square centimeter by reciprocal second by Reciprocal centimeter mercury,cm3.cm.cm-2.s-1.cmHg-1
568,Concept,Mole per Meter per second per pascal,mol.m.m-2.s-1.Pa-1
569,Concept,Mole per Meter per second per pascal,mol.m-1.s-1.Pa-1
570,Concept,Mole per Meter per second per pascal,mol / m / s / Pa
571,Concept,Mole per Meter per second per pascal,mol m m-2 s-1 Pa-1
572,Concept,Square Meter By Reciprocal Second,m2 s-1
573,Concept,Square Meter By Reciprocal Second,m2.s-1
574,Unit_Division_Or_Multiplication,Degree Celsius By Reciprocal Minute,°C.min-1
575,Unit_Division_Or_Multiplication,Microgram by reciprocal kilogram,µg / kg
576,Unit_Division_Or_Multiplication,Pascal By Reciprocal Milligram,Pa / mg
577,Concept,Kilowatt by hour,kW.h
578,Concept,Reciprocal cubic centimeter,cm-3
579,Unit_Division_Or_Multiplication,Mole per square Meter per second,mol / m2 / s
580,Unit_Division_Or_Multiplication,Mole per square Meter per second,mol m-2 s-1
581,Unit_Division_Or_Multiplication,Mole per square Meter per second,mol.m-2.s-1
582,Concept,Reciprocal meter,meter power one
583,Concept,Reciprocal meter,meter-1
584,Concept,Reciprocal meter,m-1
585,Concept,Micromole by reciprocal kilogram by reciprocal second,µMole.kg-1.s-1
586,Concept,CFU per gram,CFU / gr
587,Concept,Unit under creation,Unit under creation
588,Singular_Unit,Unit under creation,Unit under creation
589,Concept,Joule,J
590,Concept,Micrometer,μm
591,Concept,Watt by hour,W.h
592,Concept,Liter By Reciprocal Hour By Reciprocal Square Meter,l.h-1.m-2
593,Concept,Millilitre by reciprocal square meter by reciprocal day by reciprocal atmosphere,mL.m-2.d-1.atm-1
594,Concept,Cubic centimeter by reciprocal cubic centimeter by reciprocal atmosphere,cm3.cm-3.atm-1
595,Concept,Kilogram by meter by reciprocal square meter,kg m m-2
596,Concept,Percent,%
597,Concept,Percent,wt %
598,Concept,Percent,Percentage
599,Singular_Unit,Day,day
600,Unit_Division_Or_Multiplication,Mole per Liter,mol.L-1
601,Unit_Multiple_Or_Submultiple,Nanometer,nm
602,Concept,Cubic Meter,m3
603,Unit_Division_Or_Multiplication,Atmosphere By Reciprocal Mole,Atm.Mole-1
604,Concept,Decimeter,dm
605,Unit_Division_Or_Multiplication,Cubic centimeter per 100 square inch per day,cc 100in-2 day-1
606,Unit_Division_Or_Multiplication,Cubic centimeter per 100 square inch per day,cm3.100in-2.day-1
607,Concept,Microgram by reciprocal kilogram,µg / kg
608,Concept,Pascal By Reciprocal Milligram,Pa / mg
609,Concept,Mole per square Meter per second,mol / m2 / s
610,Concept,Mole per square Meter per second,mol m-2 s-1
611,Concept,Mole per square Meter per second,mol.m-2.s-1
612,Unit_Division_Or_Multiplication,Cubic Centimeter By Reciprocal Square Meter By Reciprocal Day By Reciprocal Atmosphere,cm3 m-2 day-1 atm-1
613,Unit_Division_Or_Multiplication,Cubic Centimeter By Reciprocal Square Meter By Reciprocal Day By Reciprocal Atmosphere,cm3.m-2.day-1.atm-1
614,Unit_Division_Or_Multiplication,Cubic Centimeter By Reciprocal Square Meter By Reciprocal Day By Reciprocal Atmosphere,cc m-2 24h-1 atm-1
615,Unit_Exponentiation,Reciprocal Kilogram,kg-1
616,Singular_Unit,calorie,cal
617,Unit_Division_Or_Multiplication,Femtoliter By Meter By Reciprocal Square Meter By Reciprocal Second By Reciprocal Pascal,fl.m.m-2.s-1.Pa-1
618,Unit_Exponentiation,Reciprocal Ton,t-1
619,Concept,Picometer,pm
620,Concept,Reciprocal square centimeter,cm-2
621,Unit_Multiple_Or_Submultiple,Micrometer,μm
622,Concept,Reciprocal second,s-1
623,Concept,Reciprocal second,second-1
624,Concept,Reciprocal second,second power one
625,Unit_Exponentiation,Square second,s2
626,Concept,Inch,in
627,Concept,Gram by milliinch by reciprocal square meter by reciprocal day,gr mil m-2 day-1
628,Concept,Cellobiase activity Unit,CBU
629,Unit_Division_Or_Multiplication,Cubic centimeter by 25 micrometer by reciprocal square meter by reciprocal day by reciprocal atmosphere,cm3.25 μm / (m2.day.atm)
630,Unit_Division_Or_Multiplication,Cubic centimeter by 25 micrometer by reciprocal square meter by reciprocal day by reciprocal atmosphere,cm3 25 μm m-2 day-1 atm-1
631,Concept,Mole per Liter,mol.L-1
632,Concept,Atmosphere By Reciprocal Mole,Atm.Mole-1
633,Concept,Cubic centimeter per 100 square inch per day,cc 100in-2 day-1
634,Concept,Cubic centimeter per 100 square inch per day,cm3.100in-2.day-1
635,Unit_Division_Or_Multiplication,1E-10 By Cubic Centimeter By Centimeter Per Square Centimeter Per Second Per Centimeter Mercury,barrer
636,Unit_Division_Or_Multiplication,1E-10 By Cubic Centimeter By Centimeter Per Square Centimeter Per Second Per Centimeter Mercury,1e-10.cm3.cm / cm2 / s / cmHg
637,Concept,Cubic Centimeter By Reciprocal Square Meter By Reciprocal Day By Reciprocal Atmosphere,cm3 m-2 day-1 atm-1
638,Concept,Cubic Centimeter By Reciprocal Square Meter By Reciprocal Day By Reciprocal Atmosphere,cm3.m-2.day-1.atm-1
639,Concept,Cubic Centimeter By Reciprocal Square Meter By Reciprocal Day By Reciprocal Atmosphere,cc m-2 24h-1 atm-1
640,Concept,New H2O Permeability Unit,g m / m^2 day kPa
641,Concept,New H2O Permeability Unit,g / m^2 s
642,Concept,New H2O Permeability Unit,g m / m^2 s Pa
643,Concept,New H2O Permeability Unit,g m^-2 day^-1
644,Concept,New H2O Permeability Unit,g m^-1 s^-1 Pa^-1
645,Concept,New H2O Permeability Unit,g / m^2 / day
646,Concept,New H2O Permeability Unit,g m^-1 s^-1 Pa
647,Concept,Unité Formant Colonie,CFU
648,Concept,Unité Formant Colonie,UFC
649,Singular_Unit,Unité Formant Colonie,CFU
650,Singular_Unit,Unité Formant Colonie,UFC
651,Concept,Nanokatal,nkat
652,Concept,Femtoliter By Meter By Reciprocal Square Meter By Reciprocal Second By Reciprocal Pascal,fl.m.m-2.s-1.Pa-1
653,Concept,nanomole by reciprocal kilogram,nMole.kg-1
654,Unit_Division_Or_Multiplication,Millimole by Reciprocal 100 Gram,mmol.100gr-1
655,Unit_Division_Or_Multiplication,Gram per hectogram,g / 100g
656,Unit_Division_Or_Multiplication,Gram per hectogram,Gram per hundred gram
657,Unit_Division_Or_Multiplication,Gram by millimeter by reciprocal day by reciprocal square meter by reciprocal atmosphere,g.mm.m-2.day-1.atm-1
658,Unit_Division_Or_Multiplication,Gram by millimeter by reciprocal day by reciprocal square meter by reciprocal atmosphere,g.mm.day-1.m-2.atm-1
659,Unit_Multiple_Or_Submultiple,Picometer,pm
660,Singular_Unit,Poise,P
661,Unit_Exponentiation,Reciprocal cubic centimeter,cm-3
662,Unit_Division_Or_Multiplication,Cubic Centimeter By Reciprocal Square Meter By Reciprocal Day,cm3 m-2 day-1
663,Unit_Division_Or_Multiplication,Cubic Centimeter By Reciprocal Square Meter By Reciprocal Day,cm3.m-2.day-1
664,Unit_Division_Or_Multiplication,Cubic Centimeter By Reciprocal Square Meter By Reciprocal Day,cc m-2 24h-1
665,Concept,Cubic centimeter by 25 micrometer by reciprocal square meter by reciprocal day by reciprocal atmosphere,cm3.25 μm / (m2.day.atm)
666,Concept,Cubic centimeter by 25 micrometer by reciprocal square meter by reciprocal day by reciprocal atmosphere,cm3 25 μm m-2 day-1 atm-1
667,Unit_Division_Or_Multiplication,Kilogram by reciprocal cubic meter,kg.m-3
668,Unit_Division_Or_Multiplication,Kilogram by reciprocal cubic meter,kg m-3
669,Unit_Exponentiation,Reciprocal meter,meter power one
670,Unit_Exponentiation,Reciprocal meter,meter-1
671,Unit_Exponentiation,Reciprocal meter,m-1
672,Concept,Kilocalorie,kcal
673,Concept,Gram,g
674,Unit_Division_Or_Multiplication,Mole by Reciprocal Gram by reciprocal atmosphere,mol.gr-1.atm-1
675,Concept,Gram by reciprocal 100 square inch,g.100in-2
676,Unit_Division_Or_Multiplication,Pascal By Second,Pa.s
677,Unit_Division_Or_Multiplication,Mole per square Meter per second per pascal,mol.m-2.s-1.Pa-1
678,Unit_Division_Or_Multiplication,Mole per square Meter per second per pascal,mol / m2 / s / Pa
679,Unit_Division_Or_Multiplication,Mole per square Meter per second per pascal,mol m-2 s-1 Pa-1
680,Unit_Multiple_Or_Submultiple,New H2O Permeability Unit,g m / m^2 day kPa
681,Unit_Multiple_Or_Submultiple,New H2O Permeability Unit,g / m^2 s
682,Unit_Multiple_Or_Submultiple,New H2O Permeability Unit,g m / m^2 s Pa
683,Unit_Multiple_Or_Submultiple,New H2O Permeability Unit,g m^-2 day^-1
684,Unit_Multiple_Or_Submultiple,New H2O Permeability Unit,g m^-1 s^-1 Pa^-1
685,Unit_Multiple_Or_Submultiple,New H2O Permeability Unit,g / m^2 / day
686,Unit_Multiple_Or_Submultiple,New H2O Permeability Unit,g m^-1 s^-1 Pa
687,Concept,New O2 Permeability Unit,m^3 m / m^2 s Pa
688,Concept,New O2 Permeability Unit,cc / m^2×day
689,Concept,New O2 Permeability Unit,cc m / m^2 day atm
690,Concept,New O2 Permeability Unit,cm^3 m / m^2 day kPa
691,Concept,New O2 Permeability Unit,cm^3 cm / cm^2 s Pa
692,Concept,New O2 Permeability Unit,cm^3 μm / m^2 day mmHg
693,Concept,New O2 Permeability Unit,cm^3 / (m^2 atm day)
694,Concept,New O2 Permeability Unit,cm^3 mm / (m^2 24 h atm)
695,Concept,New O2 Permeability Unit,cm^3 mm / (day m^2 atm)
696,Unit_Division_Or_Multiplication,9.81 Meter By Reciprocal Square Second,g
697,Concept,Mole,Molar
698,Concept,Mole,Mol
699,Singular_Unit,Mole,Molar
700,Singular_Unit,Mole,Mol
701,Unit_Multiple_Or_Submultiple,Nanokatal,nkat
702,Concept,millimole,mMolar
703,Concept,millimole,mM
704,Concept,millimole,millimolar
705,Concept,millimole,mmol
706,Unit_Division_Or_Multiplication,Kilogram by reciprocal Liter,kg / l
707,Concept,Millipascal,mPa
708,Concept,Gram per hectogram,g / 100g
709,Concept,Gram per hectogram,Gram per hundred gram
710,Unit_Division_Or_Multiplication,Cubic centimeter by reciprocal gram,cm3.gr-1
711,Unit_Division_Or_Multiplication,Milligram by Reciprocal Gram,mg / g
712,Concept,Gram by millimeter by reciprocal day by reciprocal square meter by reciprocal atmosphere,g.mm.m-2.day-1.atm-1
713,Concept,Gram by millimeter by reciprocal day by reciprocal square meter by reciprocal atmosphere,g.mm.day-1.m-2.atm-1
714,Unit_Exponentiation,Cubic Meter,m3
715,Unit_Division_Or_Multiplication,Square Centimeter By Reciprocal Second,cm2.s-1
716,Unit_Division_Or_Multiplication,Square Centimeter By Reciprocal Second,cm2 s-1
717,Unit_Division_Or_Multiplication,Kilogram By Reciprocal Hour,kg.h-1
718,Singular_Unit,Kelvin,K
719,Concept,Cubic centimeter by reciprocal gram by reciprocal atmosphere,cm3.gr-1.atm-1
720,Concept,Millimeter of mercury,mmHg
721,Concept,New Permeability Unit,cm^3 (STP) cm / cm^2 s cmHg)
722,Concept,New Permeability Unit,g m^-1 s^-1 Pa
723,Concept,New Permeability Unit,g / m^2 s
724,Concept,New Permeability Unit,g m / m^2 day atm
725,Concept,New Permeability Unit,cm^3 cm / cm^2 s Pa
726,Concept,New Permeability Unit,cm^3 (STP) cm / cm^2 s cm Hg)
727,Concept,New Permeability Unit,cm^3 (STP) cm / cm^2 s cmHg
728,Concept,New Permeability Unit,m^3 m / m^2 s Pa
729,Concept,New Permeability Unit,g m^-1 s^-1 Pa^-1
730,Concept,New Permeability Unit,cm^3 μm / m^2 day mmHg
731,Concept,New Permeability Unit,cm^3 mm / (day m^2 atm)
732,Concept,New Permeability Unit,g / m s Pa
733,Concept,New Permeability Unit,cm^3 / m^2 / 10^5 Pa / day
734,Concept,New Permeability Unit,g m / m^2 Pa s
735,Concept,New Permeability Unit,cm^3 m / m^2 day kPa
736,Concept,New Permeability Unit,g / m^2 / day
737,Concept,New Permeability Unit,g d^-1 Pa^-1 m^-1
738,Concept,New Permeability Unit,g m / m^2 day kPa
739,Concept,New Permeability Unit,g m / m^2 s Pa
740,Concept,New Permeability Unit,mol m^-1 Pa^-1 s^-1
741,Concept,New Permeability Unit,cm^3 / (m^2 atm day)
742,Concept,New Permeability Unit,cm^3 mm / (m^2 atm day)
743,Concept,New Permeability Unit,g m (Pa s m^2)^-1
744,Concept,New Permeability Unit,cm^3 mm / (m^2 24 h atm)
745,Concept,New Permeability Unit,kg m^-2 s^-1
746,Concept,New Permeability Unit,cc / m^2 × day
747,Concept,New Permeability Unit,cm^3 / m s Pa
748,Concept,New Permeability Unit,ng m / m^2 s Pa
749,Concept,New Permeability Unit,g / m day atm
750,Concept,New Permeability Unit,g mm / kPa min m^2
751,Concept,New Permeability Unit,g m^-2 day^-1
752,Concept,New Permeability Unit,mol m^-1 s^-1 Pa^-1
753,Concept,New Permeability Unit,cc m / m^2 day atm
754,Unit_Division_Or_Multiplication,Cubic meter by reciprocal gram,m3.gr-1
755,Concept,Cubic Centimeter By Reciprocal Square Meter By Reciprocal Day,cm3 m-2 day-1
756,Concept,Cubic Centimeter By Reciprocal Square Meter By Reciprocal Day,cm3.m-2.day-1
757,Concept,Cubic Centimeter By Reciprocal Square Meter By Reciprocal Day,cc m-2 24h-1
